input,detectedLang,expectedLang
Hello,en,en
hello,en,en
Hello ,en,en
financial aid,en,en
Financial aid,en,en
live chat,en,en
transcripts,en,en
English,en,en
transcript,en,en
english,en,en
hello ,en,en
Financial aid ,en,en
English ,en,en
email,en,en
scholarships,en,en
refund,en,en
tuition,en,en
"Hello,",en,en
hey,en,en
Stop,en,en
Live Chat,en,en
Hey,en,en
admissions,en,en
what is bbq?,en,en
Live chat,en,en
live agent,en,en
registration,en,en
Hello!,en,en
Transcript ,en,en
"Hi,",en,en
Transcripts,en,en
how do i drop a class,en,en
Transcripts ,en,en
student id,en,en
counseling,en,en
register for classes,en,en
counselor,en,en
contact,en,en
bookstore,en,en
how to drop a class,en,en
agent,en,en
how do i register for classes,en,en
Hi!,en,en
how do i apply,en,en
Yes,en,en
what is sap,en,en
drop a class,en,en
Financial Aid,en,en
orientation,en,en
how to apply,en,en
application status,en,en
scholarship,en,en
unofficial transcript,en,en
change major,en,en
drop class,en,en
help,en,en
advisor,en,en
transfer,en,en
graduation,en,en
Transcript,en,en
Refund,en,en
STOP,en,en
Admissions,en,en
Hi there,en,en
how to register for classes,en,en
phone number,en,en
housing,en,en
register,en,en
Contact us,en,en
Counselor ,en,en
yes,en,en
Scholarships,en,en
financial aid ,en,en
"Hello, ",en,en
financial aid email,en,en
How to apply,en,en
advising,en,en
reset password,en,en
How do I drop a class?,en,en
1098-T,en,en
summer classes,en,en
Registration ,en,en
apply,en,en
live person,en,en
How do I apply?,en,en
withdraw,en,en
Good morning,en,en
Email,en,en
transcript request,en,en
library,en,en
HELLO,en,en
Hey ,en,en
representative,en,en
how do i change my major,en,en
what is bbq,en,en
admission,en,en
login,en,en
How do I register for classes?,en,en
payment plan,en,en
1098,en,en
Tuition,en,en
Admission ,en,en
how much is tuition,en,en
request transcript,en,en
appointment,en,en
dual enrollment,en,en
what is the fafsa,en,en
how do i register,en,en
Disbursement ,en,en
admissions email,en,en
canvas,en,en
Register for classes,en,en
Good morning ,en,en
financial aid office,en,en
how deep is your love?,en,en
How do I apply,en,en
forgot password,en,en
work study,en,en
student email,en,en
How do I drop a class,en,en
how to register,en,en
How do I register for classes,en,en
hi there,en,en
Online,en,en
Apply,en,en
application deadline,en,en
contact office,en,en
Counseling ,en,en
waitlist,en,en
Scholarship ,en,en
blackboard,en,en
Application status,en,en
unofficial transcripts,en,en
academic calendar,en,en
request transcripts,en,en
calendar,en,en
Enrollment ,en,en
I need help,en,en
Graduation ,en,en
application,en,en
official transcript,en,en
"Hi, ",en,en
nursing,en,en
hours,en,en
what is your email,en,en
cares act,en,en
class schedule,en,en
password reset,en,en
tutoring,en,en
Agent,en,en
residency,en,en
Bookstore,en,en
How do I change my major?,en,en
How to drop a class,en,en
Registration,en,en
international students,en,en
international student,en,en
How much is tuition?,en,en
what is your email?,en,en
Counseling,en,en
Spanish,en,en
contact financial aid,en,en
parking permit,en,en
1098-t,en,en
classes,en,en
1098t,en,en
Student ID,en,en
FAFSA,en,en
campus map,en,en
appeal,en,en
enrollment,en,en
Advisor,en,en
refunds,en,en
who is my advisor,en,en
help desk,en,en
Housing,en,en
what is your phone number?,en,en
Orientation ,en,en
deadline,en,en
how deep is your love,en,en
log in,en,en
Counselor,en,en
order transcripts,en,en
summer financial aid,en,en
Cares act,en,en
transfer credits,en,en
financial aid phone number,en,en
Scholarship,en,en
Tuition ,en,en
Student id,en,en
cost of attendance,en,en
school code,en,en
Admissions ,en,en
good morning,en,en
grades,en,en
schedule,en,en
How to register for classes,en,en
When do classes start,en,en
fees,en,en
parking,en,en
password,en,en
Phone number,en,en
Help,en,en
course catalog,en,en
counseling appointment,en,en
financial aid status,en,en
finacial aid,en,en
financial aid for international stu,en,en
How do I apply for financial aid?,en,en
Map,en,en
office hours,en,en
How do I apply ,en,en
payment,en,en
Spanish ,en,en
nursing program,en,en
placement test,en,en
Campus map,en,en
loans,en,en
name change,en,en
fee waiver,en,en
Drop a class,en,en
Drop class,en,en
majors,en,en
Contact,en,en
Refund ,en,en
I forgot my password,en,en
application fee,en,en
How do I apply for admission,en,en
tech support,en,en
parking pass,en,en
Graduation,en,en
Hours,en,en
enroll,en,en
zoom,en,en
